latitude,longitude,altitude,geometry,street,neighbourhood,currentResult,votesTotal,osmnodeid,marker-color,comment
49.621125,6.146124,,Point,Rue Charles-Léon Hammes,Kirchberg,2,5,node/976768930,#FF0000,
49.641905,6.135062,,Point,Rue Henri Dunant,Beggen,2,7,node/1063800761,#FF0000,
49.600472,6.109225,,Point,Nouvelle route d'Esch,Hollerich,2,6,node/1064046740,#FF0000,
49.619091,6.100367,,Point,Rue Nicolas-Ernest Barblé,Rollingergrund,2,6,node/1098872208,#FF0000,
49.614196,6.129011,,Point,Boulevard Royal,Ville-Haute,2,6,node/1098872721,#FF0000,
49.61247,6.097603,,Point,Rue des Aubépines,Belair,2,6,node/1102589086,#FF0000,
49.612348,6.097775,,Point,Val Sainte-Croix,Belair,2,6,node/1102589117,#FF0000,
49.610446,6.107655,,Point,Rue d'Amsterdam,Belair,2,7,node/1102589302,#FF0000,
49.609906,6.106234,,Point,Avenue Gaston Diderich,Belair,2,7,node/1102590592,#FF0000,
49.610229,6.107654,,Point,Rue Théodore Eberhard,Belair,12,7,node/1102590667,#FF0000,
49.625481,6.148095,,Point,Rue Érasme,Kirchberg,12,6,node/1107918318,#FF0000,
49.612473,6.14816,,Point,Rue de Trèves,Cents,2,7,node/1107918375,#FF0000,
49.605263,6.141308,,Point,Rue Auguste Lumière,Verlorenkost,0,7,node/1107918444,#FFD700,
49.62472,6.148851,,Point,Rue Érasme,Kirchberg,2,7,node/1107918458,#FF0000,
49.624912,6.148654,,Point,Rue Érasme,Kirchberg,0,7,node/1107918475,#FFD700,
49.62412,6.149446,,Point,Rue Érasme,Kirchberg,2,7,node/1107918553,#FF0000,
49.624707,6.148501,,Point,Rue Antoine de Saint-Exupéry,Kirchberg,0,7,node/1107918558,#FFD700,
49.612539,6.156239,,Point,Rue des Pommiers,Cents,2,7,node/1107918559,#FF0000,
49.626556,6.151611,,Point,Rue Léon Hengen,Kirchberg,12,7,node/1110328360,#FF0000,
49.623804,6.146363,,Point,Rue Antoine de Saint-Exupéry,Kirchberg,0,6,node/1110328500,#FFD700,
49.598468,6.140042,,Point,Rue Irmine,Bonnevoie,2,6,node/1111509621,#FF0000,
49.598565,6.14019,,Point,Rue Auguste Charles,Bonnevoie,12,6,node/1111509645,#FF0000,
49.60395,6.116082,,Point,Rue Marie-Adélaïde,Hollerich,2,6,node/1111509648,#FF0000,
49.599616,6.137269,,Point,Rue de Bonnevoie,Verlorenkost,2,6,node/1111509655,#FF0000,
49.599402,6.137337,,Point,Rue de Bonnevoie,Verlorenkost,2,6,node/1111509669,#FF0000,
49.598441,6.137647,,Point,Rue de Bonnevoie,Bonnevoie,2,6,node/1111509687,#FF0000,
49.599272,6.122642,,Point,Rue de Strasbourg,Hollerich,2,7,node/1111535416,#FF0000,
49.613407,6.125806,,Point,Avenue Amélie,Ville-Haute,2,7,node/1118466511,#FF0000,
49.601352,6.102901,,Point,Rue de Merl,Merl,2,8,node/1130823459,#FF0000,
49.593525,6.151978,,Point,Boulevard Kaltreis,Bonnevoie,2,7,node/1132240689,#FF0000,
49.638653,6.118567,,Point,Rue des Sept-Arpents,Muhlenbach,12,6,node/1218243774,#FF0000,
49.614537,6.117592,,Point,Rue de Rollingergrund,Rollingergrund,2,7,node/1232409842,#FF0000,
49.597458,6.140345,,Point,Rue Pierre Krier,Bonnevoie,2,7,node/1235127234,#FF0000,
49.597497,6.140145,,Point,Rue Irmine,Bonnevoie,2,7,node/1235160582,#FF0000,
49.609199,6.106807,,Point,Rue Théodore Eberhard,Belair,2,6,node/1252372803,#FF0000,
49.61155,6.107538,,Point,Rue Jean-Baptiste Esch,Belair,2,6,node/1252372807,#FF0000,
49.608509,6.107916,,Point,Boulevard de Verdun,Belair,2,6,node/1252372808,#FF0000,
49.612638,6.106988,,Point,Val Sainte-Croix,Belair,0,10,node/1252372811,#FFD700,
49.608445,6.108115,,Point,Rue Maréchal Foch,Belair,12,6,node/1252372815,#FF0000,
49.608648,6.107872,,Point,Rue Astrid,Belair,2,6,node/1252372824,#FF0000,
49.609316,6.106778,,Point,Boulevard de Verdun,Belair,2,6,node/1252372825,#FF0000,
49.612587,6.107166,,Point,Rue d'Amsterdam,Belair,2,6,node/1252372829,#FF0000,
49.6092,6.10695,,Point,Boulevard de Verdun,Belair,2,6,node/1252372833,#FF0000,
49.612673,6.107364,,Point,Val Sainte-Croix,Belair,2,10,node/1252372840,#FF0000,
49.606483,6.106381,,Point,Rue Astrid,Belair,2,6,node/1252410563,#FF0000,
49.605891,6.102498,,Point,Rue d'Orval,Belair,2,6,node/1252557190,#FF0000,
49.594653,6.110333,,Point,Rue de Cessange,Cessange,0,6,node/1258947385,#FFD700,
49.624353,6.172444,,Point,Rue de Neudorf,Neudorf-Weimershof,0,6,node/1268030219,#FFD700,
49.6035254632952,6.10251633423966,,Point,Boulevard Marcel Cahen,Merl,12,6,node/1278756100,#FF0000,
49.615201,6.121631,,Point,Allée de l'Unioun,Ville-Haute,2,10,node/1280809209,#FF0000,
49.614383,6.120797,,Point,Rue de la Chapelle,Ville-Haute,2,7,node/1280809232,#FF0000,
49.604255,6.103842,,Point,Rue Guillaume de Machault,Merl,2,7,node/1298780008,#FF0000,
49.602362,6.09846,,Point,Rue Nicolas Mameranus,Merl,2,6,node/1298780015,#FF0000,
49.603009,6.101341,,Point,Boulevard Marcel Cahen,Merl,0,12,node/1298780021,#FFD700,
49.605727,6.110568,,Point,Boulevard Pierre Dupong,Hollerich,2,6,node/1303641453,#FF0000,
49.601792,6.11617,,Point,Rue de l'Abattoir,Hollerich,0,6,node/1303641466,#FFD700,
49.605623,6.110525,,Point,Rue Auguste Neyen,Hollerich,12,6,node/1303641470,#FF0000,
49.606318,6.110065,,Point,Boulevard Pierre Dupong,Hollerich,2,6,node/1303641474,#FF0000,
49.60461,6.11026,,Point,Rue Marguerite de Brabant,Hollerich,2,6,node/1304088016,#FF0000,
49.60679,6.108127,,Point,Rue Walram,Belair,2,6,node/1308229683,#FF0000,
49.602731,6.113648,,Point,Rue Marie-Adélaïde,Hollerich,2,6,node/1308273049,#FF0000,
49.602364,6.105867,,Point,Rue Charles Martel,Merl,12,6,node/1309533899,#FF0000,
49.601806,6.101267,,Point,Rue de Merl,Merl,2,6,node/1309562366,#FF0000,
49.610757,6.1002,,Point,Rue Émile Verhaeren,Belair,2,6,node/1315421021,#FF0000,
49.608815,6.106192,,Point,Rue d'Oradour,Belair,2,6,node/1315421027,#FF0000,
49.61005,6.100357,,Point,Rue Émile Verhaeren,Belair,2,6,node/1315421031,#FF0000,
49.603458,6.08481,,Point,Route de Longwy,Merl,2,13,node/1319330131,#FF0000,
49.607023,6.13699,,Point,,Ville-Haute,2,11,node/1319849164,#FF0000,
49.601209,6.114444,,Point,Rue Raymond Poincaré,Hollerich,2,11,node/1320985340,#FF0000,
49.611661,6.101875,,Point,Rue Marie-Thérèse Glaesener-Hartmann,Belair,2,6,node/1321087711,#FF0000,
49.617318,6.108161,,Point,Boulevard Napoléon 1er,Rollingergrund,2,6,node/1321645365,#FF0000,
49.614698,6.110949,,Point,Rue du Stade,Belair,2,6,node/1321645380,#FF0000,
49.618864,6.099192,,Point,Rue Nicolas-Ernest Barblé,Rollingergrund,2,6,node/1322750233,#FF0000,
49.607428,6.101897,,Point,Rue Charlemagne,Belair,2,6,node/1324367502,#FF0000,
49.607207,6.098244,,Point,Rue des Aubépines,Merl,2,6,node/1324367503,#FF0000,
49.613578,6.14356,,Point,Montée de Clausen,Clausen,12,6,node/1325599571,#FF0000,
49.612702,6.112459,,Point,Allée Léopold Goebel,Belair,0,7,node/1327268890,#FFD700,
49.63103,6.176128,,Point,Rue Docteur Nicolas Clasen,Neudorf-Weimershof,2,7,node/1330935295,#FF0000,
49.630936,6.176085,,Point,Rue Joseph Leydenbach,Neudorf-Weimershof,2,6,node/1330935324,#FF0000,
49.608685,6.115507,,Point,Rue des Dahlias,Belair,2,7,node/1335780752,#FF0000,
49.608586,6.115374,,Point,Avenue du Dix Septembre,Belair,2,7,node/1335780757,#FF0000,
49.608616,6.115647,,Point,Avenue du Dix Septembre,Belair,12,7,node/1335780775,#FF0000,
49.609566,6.11913,,Point,Avenue du Dix Septembre,Ville-Haute,12,11,node/1335780779,#FF0000,
49.609525,6.11939,,Point,Boulevard Grande-Duchesse Charlotte,Ville-Haute,2,7,node/1335780790,#FF0000,
